Category,Product Name,Product Description,Brand,Condition,Parent SKU Reference No.,Variation Integration No.,Variation Name 1,Option for Variation 1,Variation Name 2,Option for Variation 2,SKU Reference No.,Price,Stock,Weight (kg),Length (cm),Width (cm),Height (cm),Days to Ship,Voucher Form,Country,Custom Product,Validity,Expiry Date,Cover Image,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing","Kool & Kleen Aircon Chemical Overhaul with Full Dismantle","CHEMICAL OVERHAUL — our most thorough service, reserved for units that need more than a chemical wash can fix.

We fully dismantle every component, chemically treat and wash each part individually, then rebuild the unit from scratch. As close to a factory reset as your aircon can get without replacing it entirely.

BEST FOR
• Severely neglected units
• Persistent issues after a chemical wash
• Units not serviced in over a year
• Persistent water leaks or unusual noise

WHY A FULL DISMANTLE
• Still not performing after a chemical wash? The problem goes deeper than the coil surface. The blower wheel and internal components have compacted build-up that chemical flushing alone cannot dislodge. Dismantling is the correct fix, not an upsell.
• Not serviced in 12+ months? Build-up compounds over time. At this stage there are layers of grime, dust and biological growth throughout the internals — not just on the surfaces a chemical wash reaches.
• Leaks and noise are symptoms, not causes. The usual culprits are a blocked drainage system and a dirty or unbalanced blower wheel — both deep inside the unit, and both only properly inspected during a full dismantle.

WHAT IS INCLUDED (every unit)
1. Protective setup — covers and water collection fitted before any cleaning begins.
2. Full unit dismantle — every component individually removed: front cover, blower wheel, water tray, filters and drainage system. Nothing is flushed in place. This is what separates an overhaul from every other service.
3. Clean filters with cleaning agent — soaked and scrubbed.
4. Deep clean blower and drainage trays — blower wheel removed and scrubbed individually.
5. Deep clean fan coil — cleaning compound applied directly and flushed through.
6. Drainage tray and pipe vacuum — fully flushed and vacuumed.
7. Drying and internal wipe down — all surfaces dried before reassembly.
8. Full reassembly — the unit is rebuilt from scratch, every component reattached, sealed and inspected before testing.

PRICING
Priced per unit by BTU capacity. Select your BTU range and number of units — the price shown is the total.
• 9,000–12,000 BTU: $130 per unit
• 18,000–24,000 BTU: $160 per unit
Not sure of your BTU? Message us on Shopee Chat with a photo of the label on the side of your indoor unit and we will confirm before you order.

OUR GUARANTEE
48-hour satisfaction guarantee. Nett pricing — no travel charge, no hidden fees, no hard selling.",Kool Aircon,New,KA-CO,1,BTU Capacity,"9,000–12,000 BTU",Number of Units,1 unit,KA-CO-S1U,130.00,999,0.01,1,1,1,2,Digital,Singapore,No,6 months,31-12-2049,https://kool-pi.vercel.app/images/services/chemical-overhaul/hero.png,https://kool-pi.vercel.app/images/services/chemical-overhaul/protection.png,https://kool-pi.vercel.app/images/services/chemical-wash/filter-clean.png,https://kool-pi.vercel.app/images/services/chemical-wash/component-clean.png,https://kool-pi.vercel.app/images/services/chemical-overhaul/fancoil-clean.png,https://kool-pi.vercel.app/images/services/chemical-overhaul/dry.png,https://kool-pi.vercel.app/images/services/chemical-overhaul/reassembly.png
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CO,1,BTU Capacity,"9,000–12,000 BTU",Number of Units,2 units,KA-CO-S2U,260.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CO,1,BTU Capacity,"9,000–12,000 BTU",Number of Units,3 units,KA-CO-S3U,390.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CO,1,BTU Capacity,"9,000–12,000 BTU",Number of Units,4 units,KA-CO-S4U,520.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CO,1,BTU Capacity,"18,000–24,000 BTU",Number of Units,1 unit,KA-CO-L1U,160.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CO,1,BTU Capacity,"18,000–24,000 BTU",Number of Units,2 units,KA-CO-L2U,320.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CO,1,BTU Capacity,"18,000–24,000 BTU",Number of Units,3 units,KA-CO-L3U,480.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-CO,1,BTU Capacity,"18,000–24,000 BTU",Number of Units,4 units,KA-CO-L4U,640.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing","Kool & Kleen Annual Aircon Servicing Contract with 4 Visits","ANNUAL SERVICING CONTRACT — four general servicing visits per year, scheduled quarterly, at a lower rate than booking each visit separately.

Singapore's climate means aircon units need servicing roughly every 3 months. This contract books all four visits up front so you are not remembering to rebook, and locks the price for the year.

WHAT YOU GET
• 4 general servicing visits across 12 months, roughly one every 3 months
• Every visit covers every unit in your contract
• Priority scheduling — contract customers are slotted first
• The same 48-hour satisfaction guarantee on every visit

WHAT EACH VISIT INCLUDES (per unit)
1. Filter, panel and blower wheel clean — filter removed and cleaned, front panel and cover wiped down, blower wheel vacuumed and brushed.
2. Drainage tray flush — tray flushed and condensate pipe vacuumed, preventing the water leaks that blocked drains cause.
3. Electrical check and fan motor tighten — all electrical connections and the fan motor bearing checked and tightened, catching faults before they become repairs.

WHY QUARTERLY
Dust, moisture and debris build up inside your unit constantly — coating the coils, clogging the filters and blocking airflow. A poorly maintained unit can draw noticeably more electricity to produce the same cooling. Regular servicing keeps the unit at peak efficiency, and a routine visit doubles as a health check that catches blocked drainage, refrigerant issues and worn components early.

PRICING
Select the number of units covered. The price shown is for the full year — all four visits included.
• 2 units: $240 per year
• 3 units: $280 per year
• 4 units: $320 per year
• 5 units: $360 per year
More than 5 units? Message us on Shopee Chat for a quote.

HOW IT WORKS
1. Select your unit count and check out.
2. Message us on Shopee Chat with your postal code — we will schedule visit 1 and pencil in the remaining three.
3. We remind you before each visit and confirm the slot with you.

COVERAGE
HDB, condominium and landed homes across mainland Singapore. Nett pricing — no travel charge, no hidden fees.",Kool Aircon,New,KA-ASC,1,Units Covered,2 units,,,KA-ASC-2U,240.00,999,0.01,1,1,1,2,Digital,Singapore,No,12 months,31-12-2049,https://kool-pi.vercel.app/images/services/general-servicing/hero.png,https://kool-pi.vercel.app/images/services/general-servicing/blower-wheel.png,https://kool-pi.vercel.app/images/services/general-servicing/drainage-flush.png,https://kool-pi.vercel.app/images/services/general-servicing/inspection.png,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-ASC,1,Units Covered,3 units,,,KA-ASC-3U,280.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-ASC,1,Units Covered,4 units,,,KA-ASC-4U,320.00,999,0.01,1,1,1,2,,,,,,,,,,,,
"Tickets, Vouchers & Services > Services > Air-Conditioning Servicing",,,,,KA-ASC,1,Units Covered,5 units,,,KA-ASC-5U,360.00,999,0.01,1,1,1,2,,,,,,,,,,,,
